KECAMATAN,PUSKESMAS,Desa/Kelurahan,Data tersedia,Stunting (1805),Selisih,JKN / BPJS,,,Air Bersih,,,Kecacingan,,,Jamban Sehat,,,Imunisasi,,,Merokok (Keluarga),,,Riwayat Ibu Hamil,,,Penyakit Penyerta,,
,,,,,,Belum ada data,Ya,Tidak,Belum ada data,Ya,Tidak,Belum ada data,Ya,Tidak,Belum ada data,Ya,Tidak,Belum ada data,Ya,Tidak,Belum ada data,Ya,Tidak,Belum ada data,Ya,Tidak,Belum ada data,Ya,Tidak
BOGOR TENGAH,GANG AUT,PALEDANG,7,47,-40,0,7,0,0,7,0,0,0,7,0,1,0,0,4,0,0,5,0,0,4,0,0,0,7
BOGOR TENGAH,GANG AUT,GUDANG,2,33,-31,0,1,1,0,2,0,0,0,2,0,1,1,0,2,0,0,1,1,0,2,0,0,1,1
BOGOR TENGAH,SEMPUR,TEGALLEGA,43,60,-17,0,34,0,0,43,0,0,0,43,0,42,0,0,39,0,0,34,0,0,0,43,0,0,0
BOGOR TENGAH,SEMPUR,BABAKAN,16,16,0,0,5,0,0,8,0,0,0,8,0,8,0,0,7,0,0,7,0,0,0,7,0,0,0
BOGOR TENGAH,SEMPUR,SEMPUR,10,10,0,0,8,0,0,10,0,0,0,10,0,8,0,0,9,0,0,9,0,0,0,5,0,0,0
BOGOR BARAT,PASIR MULYA,PASIR MULYA,14,14,0,0,14,0,0,14,0,0,0,14,0,9,0,0,14,0,0,13,0,0,0,14,0,0,0
BOGOR BARAT,PASIR MULYA,GUNUNGBATU,50,50,0,0,43,7,0,49,1,0,0,50,0,41,9,0,46,4,0,40,10,0,2,48,0,6,44
BOGOR BARAT,PASIR MULYA,LOJI,43,43,0,0,37,6,0,43,0,0,43,0,0,25,28,0,41,2,0,35,8,0,2,41,0,0,43
BOGOR BARAT,SEMPLAK,SEMPLAK,41,41,0,1,32,8,9,32,0,9,29,3,0,39,2,9,29,3,0,36,5,35,4,2,0,1,40
BOGOR BARAT,SEMPLAK,CURUGMEKAR,30,30,0,26,4,0,2,28,0,2,26,2,0,30,0,2,27,1,0,25,5,18,4,8,0,0,30
BOGOR BARAT,SEMPLAK,CURUG,53,53,0,4,40,9,0,53,0,0,42,11,0,48,5,0,51,2,0,36,17,24,6,23,0,0,53
BOGOR BARAT,PANCASAN,PASIRKUDA,35,34,1,0,31,0,0,35,0,0,0,35,0,27,0,0,34,0,0,33,0,0,0,31,0,0,34
BOGOR BARAT,PANCASAN,PASIRJAYA,40,42,-2,0,35,0,0,38,0,0,0,40,0,13,0,0,38,0,0,37,0,0,0,30,0,0,37
BOGOR BARAT,SINDANG BARANG,SINDANG BARANG,31,48,-17,0,31,0,0,31,0,0,0,0,0,31,0,0,31,0,0,19,0,0,0,25,0,0,28
BOGOR BARAT,SINDANG BARANG,MARGAJAYA,6,11,-5,0,6,0,0,6,0,0,0,6,0,6,0,0,6,0,0,6,0,0,0,6,0,0,6
BOGOR BARAT,SINDANG BARANG,BALUMBANG JAYA,28,28,0,0,28,0,18,10,0,0,0,28,0,28,0,0,28,0,0,15,13,0,0,28,0,0,28
BOGOR BARAT,SINDANG BARANG,SITU GEDE,23,32,-9,0,23,0,0,23,0,0,0,1,0,23,0,0,23,0,0,8,0,0,0,21,0,0,23
BOGOR BARAT,SINDANG BARANG,BUBULAK,38,53,-15,0,28,0,0,38,0,0,0,38,0,38,0,0,38,0,0,0,0,0,0,38,0,0,30
BOGOR BARAT,GANG KELOR,MENTENG,25,25,0,0,9,0,0,21,0,0,0,18,0,18,0,0,8,0,0,0,0,0,0,23,0,0,21
BOGOR BARAT,GANG KELOR,CILENDEK TIMUR,20,20,0,11,9,0,6,14,0,5,7,8,5,14,1,11,7,2,11,2,7,5,2,13,13,0,7
BOGOR BARAT,GANG KELOR,CILENDEK BARAT,16,30,-14,14,2,0,5,11,0,1,0,15,10,6,0,14,2,0,5,11,0,1,0,15,0,0,16
TANAH SAREAL,KEDUNG BADAK,KEDUNG WARINGIN,57,57,0,0,55,0,0,55,0,0,0,18,0,19,36,0,55,0,0,55,0,0,1,54,0,2,53
TANAH SAREAL,KEDUNG BADAK,KEDUNG JAYA,21,21,0,0,20,0,0,20,0,16,0,4,0,20,0,0,20,0,0,20,0,0,20,0,0,2,18
TANAH SAREAL,KEDUNG BADAK,KEDUNG BADAK,49,49,0,0,49,0,0,49,0,0,28,0,0,23,0,0,49,0,0,49,0,0,0,47,0,0,32
TANAH SAREAL,KAYU MANIS,CIBADAK,45,45,0,1,42,2,0,44,1,0,2,43,1,43,1,0,42,3,0,43,2,2,1,42,10,0,45
TANAH SAREAL,KAYU MANIS,KAYUMANIS,24,24,0,0,23,0,0,23,0,0,0,23,1,22,1,0,23,4,0,20,1,2,0,21,0,0,24
TANAH SAREAL,KAYU MANIS,KENCANA,32,32,0,0,32,0,0,32,0,0,32,0,0,31,0,0,31,0,0,29,0,3,1,28,0,28,0
TANAH SAREAL,MEKARWANGI,Mekarwangi,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TANAH SAREAL,MEKARWANGI,Sukaresmi,11,12,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TANAH SAREAL,MEKARWANGI,Sukadamai,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOTA BOGOR,,,1530,1805,-275,64,1069,91,45,1281,3,41,247,882,21,1043,146,41,1167,52,24,1002,122,131,76,990,27,47,1047
,,,,,,,,1224,,,1329,,,1170,,,1210,,,1260,,,1148,,,1197,,,1121
